text,recommends,label,score
"Long cylindrical instrument?  Tire iron?  

Bassoon, flute, piccolo, tin whistle? 
Drinking straw? 
Pipette?  

All right, all right.  I got it!  
I wanted WINK WINK NUDGE NUDGE right away upon seeing 17A, but I had to wait while Jess and Amie stretched it out in order to milk the theme to the last little bit.  Solvers have few avenues for revenge in these circumstances..

Nice Monday (well, actually-- wet, windy and gray, but at least the heavy storms and tornado watches are over for now).  But the PUZZLE made it a nice Monday.  I'm going to see the dentist later, so it doesn't actually take much to improve on the day, does it?

Tomorrow is Fat Tuesday...  eat, drink, and be merry whilst ye may!",5,positive,0.48895666003227234
"Really enjoyed the puzzle! In case the constructors are reading and the puzzle pack for children's charities they mention was Grids for Kids, I'd also like to thank them for that!

I've been quite disappointed in crosswords designed for kids, as they tend to be badly made crosswords with clues that are intended to be easy. The amount of crossing is often very limited, and not respective of the relative difficulty of the clue/answer pairs involved in each part of the grid. Grids for Kids, however, was *terrific*. My son has never clicked with kids crosswords, as they tend to have these dead regions that he can't solve, but he raced through the whole Grids for Kids pack. That it involved donating to children's charities made the whole thing a real feel good affair, so thank you, constructors!",15,positive,0.9716914296150208
"My thanks to Sam Corbin for the Monty Python video. I love that sketch, but like so many things I’d forgotten how it ends. Nice puzzle today too!",7,positive,0.969079852104187
Loved this puzzle!,4,positive,0.9765199422836304
"There is a hilarious movie called,""Dick,"" about Watergate. And there are pot brownies called Hello Dollys, that have an important role in the Vietnam peace accord, http://tinyurl.com/3kcm8upk
The movie is built on a lot of innuendo, which makes it so watchable.",7,positive,0.7427159547805786
"I thought hOTBROWNIES was strange phrasing, but, it worked. Until it didn't. Couldn't figure out what was holding up my happy music until I read Sam's column, and then the old slap on the noggin. Somehow I've gotten through life without ever having a A POTBROWNIE, which is strange when you realize I lived in a dorm in college, in the 70s, which translates to ""stand in the stairwell for five minutes and you'll get high.""

I enjoyed the rest of the puzzle, which was a lovely Monday breeze, after having my hat handed to me in Connections.",9,neutral,0.4681341350078583
"Regarding POT BROWNIES, there was that time in college when I made a batch.  I didn’t remember if pot when baked was more or less potent than when smoked, I knew it was one or the other.  Naturally, I erred on the side of biggest bang for the buck, so I threw in a ton.  

End result: There was that moment when I was lying in bed and somehow remembered that I left the kitchen light on.  Turning it off involved what seemed like an overwhelming number of steps – walking through a hallway, flipping a switch, remembering how to get into the kitchen itself, for instance – and despite great efforts at figuring out how to complete this task, it was just too complicated to attempt.  The light remained on.

I lucidly remember this moment from many years ago, my brain shining a bright light on that point in time when it was a dim bulb.",27,neutral,0.7296807765960693
"I didn’t get it.






cc: emu handler",5,negative,0.6291446089744568
"Not that there was anything wrong with the entry at 10D, but if memory serves, when I was a younger, hipper version of myself, we used to call them ""hash brownies"".


!!!

!!!

!!!",6,negative,0.5217573046684265
"For some reason the OLD brain froze up on Connections this morning so this was a welcome salve to the ego.  

Also cannot abide Scotch.  One of my customers collects fancy brands which are quite expensive.  They taste like a fireplace to me - an acquired taste to be sure.",6,negative,0.5651424527168274
"Disappointed that POTBISCUITS are not a thing.   They sound like a wholesome business concept with an added benefit of not rotting your teeth every time that you the munchies... Imagine drizzling gravy on some warm, fluffy pockets of mood enhancing paradise.",6,negative,0.6950650215148926
"As soon as I had NUDGE NUDGE and HINT HINT, I tried to guess the other two.  I came up immediately with WINK WINK, but I couldn't come up with COUGH COUGH.

What an adorable theme.  We do have an awful lot of ways to let people in on the joke, don't we?  Just in case they missed it on the first hearing.  We would never want that.

I thought this was a nicely conceived puzzle -- and admirably free of junk.  Although I would never call my surgeon an OR DOC.  It lacks dignity and I wouldn't want to make him mad and cause his hands to shake.",10,positive,0.5245059728622437
"Since i shared a Classical youtube earlier, for balance, here's a favorite by the Pixies: https://m.youtube.com/watch?v=xJncHEZ3URs

(Bonus points if you can identify the Classical composition it shares a bass line with.)",6,positive,0.7135412096977234
I love it! Just shows me how influential movies and other variations of entertainment actually words to my problem solving process. I've answered almost every single one on the first try!,5,positive,0.9826804995536804
"What a stellar language quirk find – repeated words that mean “Get it?”!  These word pairs have been floating in the ether, clear as day, but it took Jess and Amie to pluck them out.  Brava, you two!

Innuendo always grabs my interest, and here is a whole puzzle based on it.  This is why I don’t skip Monday puzzles – I would hate to have missed this marvelous theme.

There were also some lovely answers: SO I HEAR, BEAT THE HEAT, CACHE, TOUSLE, ENSHROUD, and ENIGMA.  Wow!  It was also sweet to see a backward TUBA crossing the OBOE.  Not to mention the BACK up and the side PATHS.

This was a day brightener – always a gift – for me.  Thank you, Jess and Amie, for making this!",23,positive,0.9746668934822083
"Easy breezy, and I always like seeing OBOE
Reminds me of Peter & The Wolf",6,positive,0.9041980504989624
I really hoped SAYNOMORE was going to be in there somewhere!,26,positive,0.48748528957366943
"WELL WELL, that was a nice diversion from all the expensive commercials this evening.",6,positive,0.9230075478553772
"""Can you help me get started on making these baked goods?""
""Sure, here's a nudge brownie.""

(""You're such a sweet talker."")",9,positive,0.7044224739074707
"As your resident alphadoppeltotter, a role I’ve inexplicably taken on in the past seven years, it is my duty to inform you that this puzzle has an unusually low number of double letters, at four, where anything less than five is given that distinction.  The last time a puzzle fell into this nether region was September of last year.  

I remain your humble servant, ever on the alert.",36,neutral,0.7402955293655396
"Two items related to 10D.

A local restaurant yells out the names of waiting parties: We registered as ""Pot."" Snickers all around as they called out ""Pot party for 2.""

Sister, head of Brownie Troupe 666 makes 10Ds often.  One version uses a mini corn bread pan so they look like, well dog poop.

Fun puzzle.

Thank you Jess and Amie",8,neutral,0.7045803666114807
"Plural for ""nova"" is ""novae"" not ""novas"".",3,neutral,0.7432405948638916
"Ohhhh!  A late puzzle find, completely unrelated to today's puzzle, but just one of the most amazing puzzles I can recall. I had actually done this one, but of course had completely forgotten it. Anyway... A Thursday puzzle from May 18, 2017 by Jacob Stulberg. 

In that one there were four rebus squares, but... it was a double rebus, with one part of it being used for the down answer and the other for the across answer. One example: 

35across answers was PLAY(CHICKEN) and the 'CHICKEN' rebus became 'ROAD' for 36d; the answer to that being (ROAD)RUNNER. 

And... the 'reveal' for the puzzle:

""Question raised by four squares in this puzzle?"" 
WHY 

Here's the Xword Info link: 

https://www.xwordinfo.com/Crossword?date=5/18/2017&g=19&d=A

..",5,positive,0.9243991374969482
"Fun puzzle and a mostly smooth Monday solve, except for...

... well, glad to see I'm not the only one who forgot about POTBROWNIES (even though I now vaguely recall those) and went with HOTBROWNIES instead. Took me a good long time reviewing all my answers and then going through a second time and finally realizing that HEAT didn't really make a lot of sense for 10 across.

Not a problem. Really clever theme; looking forward to more from our collaborators.*

*and... one answer history search today. Was quite surprised to see that COLLABORATE was only an answer in one puzzle. And no COLLABORATION(s) or COLLABORATOR(s) either).

..",11,positive,0.408610463142395
"10D
NUDGE NUDGE
WINK WINK
say no more, say no more!

.................................................
*emu disclaimer- I've never had a 10D
:)",5,neutral,0.68052077293396
"Nice puzzle and as usual for a monday, not that hard. I'm now on my first streak ever!",7,positive,0.9744835495948792
"Cute theme, a nice variety of entries, so a fun Monday solve.  

Definitely looking forward to more from Jess and Amie.",9,positive,0.9870664477348328
"A quibble: a NOVA is not an exploding star. A supernova is an exploding star, but a supernova is not a type of nova -- it's a different kind of stellar event.",4,neutral,0.7969309687614441
"Oboes are conical, not cylindrical.",7,neutral,0.8177087306976318
"Well, since Sam asked and seems to be a Monty Python fan, I'll share where my mind wandered -- based on her commentary about swaths, more so than the puzzle itself...  

https://youtu.be/g3YiPC91QUk?si=uY_nNx_QUL4tChkF

How I love the Holy Grail!!  

Fun puzzle!  Loved the HUG ME on Valentine's week!  

Also, totally agree with Sam about Scotch and peat....   I know people who love it, and I always keep it on hand an hour spirits cabinet for them, but I just don't get it! Now, gin on the other hand, bring it on! 🍸🍸",9,positive,0.7732157111167908
"Fun and quick, but my butterfingers will never let me get less than 10 min. on a Monday.  I don't know how the faster solvers  do it!  It's a riddle wrapped in a mystery inside an enigma.

Enjoyed the Super Bowl, was hoping for a 50 yard line proposal.",9,negative,0.6798040270805359
"Simple, as the constructors say, but clever and fun to do.  I had never noticed how many double word expressions there were.  Very nice.",8,positive,0.954531729221344
"Solved in 4:12, great gimmick, great clues",9,positive,0.9462001323699951
"I brought this Monday in in just under an hour, a record, but in the wrong direction.  You know what happens when you're working the puzzle while watching the Super Bowl, fail to hit the pause button, and just laissez le jeu rouler (NOD NOD).

Jess Shulman and Amie Walker, you constructed a puzzle that bobs and weaves with very smart fills.  Some clues were A TEASE and some were an ENIGMA—taken altogether you scored a GIGANTIC debut.  Congratulations!",16,neutral,0.4247704744338989
An oboe is not cylindrical. Only flutes and clarinets are cylindrical. All other wind instruments are conical.,10,neutral,0.7256807088851929
"More, more!

Keep up the good work, Jess and Amie; nicely done.",9,positive,0.9823020696640015
"Jess and Amie threw a Super Bowl party.  Overheard at their luau line:

ETA for hot male stags?
They're late (so I hear).

Don't let it slip, but the keg has run dry!

UGG, there's a bone in my vegan pate.

Since when are you such a tease? 
Don't make a scene, you ogre!
Let me tousle your do.
Yank my hair, and you'll need an OR doc!

Psst . . .anybody got rolling paper?
You won't cache me smoking! (Cough cough)

Peace, bro. 
I'll use the other option .. .*Wink wink*

AND Viola -  Pot brownies!

They're GIGANTIC!",22,neutral,0.5132652521133423
"Nice and easy solve, as befitting a Monday puzzle. Liked the theme as well.",9,positive,0.975115180015564
"Always fascinating to learn something about the constructors.  Jess Shulman has a degree in electrical engineering!  Slid quite naturally into a career as a Certified Professional Editor — Who knew there was such a thing? — and, as she describes herself on her website, a writer, communicator, book lover and language nerd.  Maybe there is hope yet that I may one day construct a crossword puzzle for the NYT.",18,positive,0.964047908782959
"There were some other possible hints hiding in the puzzle:

BACK BACK “did you get my hint to step away from my freshly baked pie?”

OUCH OUCH “did you get my hint to quit waltzing on my feet?”

PSST PSST “did you get my hint to get my hint?”

TROT TROT “did you get my hint to get going on these chores?”

CODA CODA “did you get my hint to play the same part the entire rest of the orchestra is playing?”",10,neutral,0.8249411582946777
"Just an off-subject note that might still appeal to all you logophiles I'm watching the Super Bowl and just heard Tony Romo, who's supplying color commentary on CBS, say about the SF quarterback, ""He has a unique ability, which not everyone has...""

Bartlett's material!",34,positive,0.6721096038818359
"Today I hit a 1,000-day streak!",80,positive,0.8178688287734985
"Pot Brownies, what a great debut! And nice to see ENIGMA, such a good word with lots of angles to it. With ENSHROUD, it reminded me of Churchill's “It's a riddle wrapped in a mystery inside an enigma…”  which is the oratory equivalent of a turducken. And kinda self referential in a puzzle about getting it. Likewise, ANYBODY when echoed makes me think of a standup comic who's just not clicking with the crowd and finally, after telling yet another bomb calls out into the silence, ""Anybody? Anybody?"" 

Pot Brownies:  Psst psst -- baking a pan of brownies where half are pot brownies and half are not, is a bad idea.  A no no. And if you try doing it, well, tsk tsk.",17,positive,0.8823004961013794
"I was hung up for the longest time thinking the answer was ""hot brownies."" My thinking was totally dis-joint-ed.",47,negative,0.7621889114379883
"OK, OK; I can take a hint.

I hope our newer solvers will be able 
to get through this one without autocheck. 

The only proper noun cross I see is the 
reasonably tame UGG/EDGAR (64D/70A).

One note for the real world, 
not a correction for the puzzle:
""Relax, soldier"" is not AT EASE; it is FALL OUT.




emus,  parade REST",14,neutral,0.5491612553596497
"My five favorite original clues from last week
(in order of appearance):

1. Able is he and he is Elba  (5)
2. Now I remember who sang 'Take On Me'!""  (3)
3. Wind up alone?  (5)(4)
4. Pentagon figures  (5)
5. You can trip on it in the desert  (6)


IDRIS
AHA
FLUTE SOLO
AREAS
PEYOTE",56,neutral,0.566799521446228
